1;83;-4.5;6;
2;41;-2.5;7;
3;61;-4.5;5;
4;36;-4.5;4;
5;102;-2.5;4;
6;37;-1.0;3;
7;51;-2.5;6;
8;97;-1.0;3;
9;63;-4.5;4;
10;62;-2.5;6;
11;79;-1.0;4;
12;43;-4.5;8;
13;48;-2.5;4;
14;64;-4.5;7;
15;99;-1.0;4;
16;81;-1.0;9;
17;94;-2.5;3;
18;67;-2.5;7;
19;98;-1.0;6;
20;88;-2.5;8;
21;88;-2.5;6;
22;90;-1.0;9;
23;67;-1.0;3;
24;91;-1.0;4;
25;43;-2.5;9;
26;34;-4.5;4;
27;94;-1.0;7;
28;105;-1.0;8;
29;51;-4.5;8;
30;89;-1.0;3;
31;43;-4.5;8;
32;103;-1.0;9;
33;73;-2.5;6;
34;65;-4.5;5;
35;83;-2.5;4;
36;98;-1.0;7;
37;102;-2.5;9;
38;35;-4.5;5;
39;57;-1.0;7;
40;106;-2.5;9;
41;75;-4.5;4;
42;46;-1.0;3;
43;77;-1.0;8;
44;62;-2.5;4;
45;70;-4.5;4;
46;50;-2.5;4;
47;62;-2.5;6;
48;47;-2.5;6;
49;92;-4.5;5;
50;94;-4.5;6;
51;37;-2.5;3;
52;69;-1.0;7;
53;87;-2.5;4;
54;38;-2.5;8;
55;87;-1.0;6;
56;93;-1.0;7;
57;51;-1.0;9;
58;43;-1.0;3;
59;81;-2.5;6;
60;51;-1.0;4;
61;80;-1.0;3;
62;47;-1.0;3;
63;46;-2.5;9;
64;58;-1.0;3;
65;81;-1.0;6;
66;58;-1.0;6;
67;69;-4.5;6;
68;48;-2.5;8;
69;86;-1.0;7;
70;37;-1.0;3;
71;108;-1.0;9;
72;97;-1.0;6;
73;70;-1.0;4;
74;52;-2.5;7;
75;78;-2.5;5;
76;40;-1.0;9;
77;91;-1.0;8;
78;64;-1.0;5;
79;95;-4.5;5;
80;87;-2.5;9;
81;46;-4.5;8;
82;74;-1.0;5;
83;78;-2.5;9;
84;43;-1.0;8;
85;57;-1.0;9;
86;41;-1.0;4;
87;69;-4.5;3;
88;64;-1.0;7;
89;99;-1.0;7;
90;95;-1.0;7;
91;83;-2.5;8;
92;60;-1.0;8;
93;60;-1.0;9;
94;88;-1.0;7;
95;104;-2.5;8;
96;43;-1.0;7;
97;74;-2.5;3;
98;65;-4.5;8;
99;34;-4.5;3;
100;70;-4.5;5;
101;42;-1.0;9;
102;95;-1.0;6;
103;77;-1.0;3;
104;92;-1.0;4;
105;72;-1.0;9;
106;54;-1.0;4;
107;40;-4.5;3;
108;97;-2.5;7;
109;70;-1.0;3;
110;82;-1.0;9;
111;42;-4.5;7;
112;57;-1.0;8;
113;78;-1.0;9;
114;54;-1.0;3;
115;49;-4.5;6;
116;88;-4.5;9;
117;100;-2.5;3;
118;54;-4.5;6;
119;94;-1.0;5;
120;101;-1.0;8;
121;51;-4.5;3;
122;70;-1.0;5;
123;44;-1.0;6;
124;33;-1.0;3;
125;104;-1.0;5;
126;94;-4.5;8;
127;98;-2.5;9;
128;58;-2.5;6;
129;54;-1.0;7;
130;73;-2.5;3;
131;86;-1.0;7;
132;63;-2.5;7;
133;73;-1.0;5;
134;81;-1.0;8;
135;100;-1.0;8;
136;78;-2.5;3;
137;70;-2.5;7;
138;84;-2.5;3;
139;106;-4.5;8;
140;64;-2.5;6;
141;85;-4.5;8;
142;86;-1.0;8;
143;61;-1.0;7;
144;51;-1.0;6;
145;57;-2.5;5;
146;73;-1.0;9;
147;56;-2.5;5;
148;55;-2.5;8;
149;42;-1.0;7;
150;56;-1.0;4;
151;92;-2.5;9;
152;91;-4.5;8;
153;43;-4.5;9;
154;46;-2.5;3;
155;103;-4.5;9;
156;66;-2.5;3;
157;76;-1.0;4;
158;93;-1.0;7;
159;89;-1.0;9;
160;64;-1.0;7;
161;102;-1.0;7;
162;90;-1.0;7;
163;74;-2.5;4;
164;69;-4.5;7;
165;56;-1.0;8;
166;99;-1.0;3;
167;78;-1.0;5;
168;107;-2.5;9;
169;59;-1.0;4;
170;42;-1.0;5;
171;100;-1.0;7;
172;91;-2.5;3;
173;95;-1.0;7;
174;81;-1.0;6;
175;98;-1.0;6;
176;101;-4.5;9;
177;43;-4.5;5;
178;56;-1.0;4;
179;42;-1.0;4;
180;60;-1.0;7;
181;52;-4.5;3;
182;84;-1.0;3;
183;64;-4.5;7;
184;44;-4.5;7;
185;75;-1.0;8;
186;44;-4.5;6;
187;65;-1.0;3;
188;62;-2.5;7;
189;95;-1.0;5;
190;78;-1.0;9;
191;69;-4.5;8;
192;103;-2.5;9;
193;56;-4.5;7;
194;55;-4.5;8;
195;56;-2.5;4;
196;81;-2.5;3;
197;61;-1.0;9;
198;86;-2.5;6;
199;97;-4.5;6;
200;103;-2.5;5;
201;46;-1.0;4;
202;83;-1.0;7;
203;65;-1.0;3;
204;89;-1.0;3;
205;85;-2.5;7;
206;95;-2.5;6;
207;75;-2.5;6;
208;93;-4.5;3;
209;96;-1.0;6;
210;47;-1.0;8;
211;74;-1.0;6;
212;102;-1.0;4;
213;101;-4.5;8;
214;98;-4.5;7;
215;89;-2.5;7;
216;106;-4.5;9;
217;59;-2.5;8;
218;87;-4.5;5;
219;34;-1.0;3;
220;70;-4.5;9;
221;106;-1.0;7;
222;63;-1.0;5;
223;67;-4.5;7;
224;103;-4.5;6;
225;45;-1.0;7;
226;78;-1.0;8;
227;49;-1.0;6;
228;57;-4.5;7;
229;79;-1.0;3;
230;66;-4.5;9;
231;79;-1.0;3;
232;75;-4.5;6;
233;74;-1.0;3;
234;70;-1.0;3;
235;54;-1.0;5;
236;84;-1.0;9;
237;56;-2.5;6;
238;60;-1.0;6;
239;84;-1.0;9;
240;52;-2.5;9;
241;102;-4.5;3;
242;63;-1.0;3;
243;39;-4.5;7;
244;80;-1.0;8;
245;44;-4.5;5;
246;97;-1.0;7;
247;85;-2.5;5;
248;62;-4.5;7;
249;97;-4.5;4;
250;49;-2.5;3;
251;96;-1.0;7;
252;60;-4.5;7;
253;65;-1.0;8;
254;78;-1.0;7;
255;55;-1.0;3;
256;54;-1.0;4;
257;62;-1.0;5;
258;46;-1.0;5;
259;62;-1.0;3;
260;72;-4.5;7;
261;98;-4.5;3;
262;80;-1.0;6;
263;92;-1.0;4;
264;103;-1.0;7;
265;41;-1.0;4;
266;67;-2.5;5;
267;37;-4.5;3;
268;58;-1.0;8;
269;50;-4.5;5;
270;96;-2.5;5;
271;54;-1.0;3;
272;68;-2.5;8;
273;54;-1.0;7;
274;103;-2.5;5;
275;71;-1.0;4;
276;81;-4.5;5;
277;101;-2.5;7;
278;91;-1.0;6;
279;71;-1.0;9;
280;57;-4.5;9;
281;83;-4.5;6;
282;67;-1.0;8;
283;98;-1.0;4;
284;41;-2.5;8;
285;44;-1.0;8;
286;87;-1.0;5;
287;38;-4.5;6;
288;90;-4.5;7;
289;70;-1.0;5;
290;82;-2.5;7;
291;68;-1.0;3;
292;93;-1.0;7;
293;43;-4.5;4;
294;88;-1.0;4;
